Station,Trafic,Année,Trafic_Année_Précedente,Réseau_Métro,Réseau_RER
CENSIER-DAUBENTON,3777857,2013,4779337.536585365,1,0
PORTE DE VERSAILLES,6238822,2013,4779337.536585365,1,0
DUPLEIX,3983127,2013,4779337.536585365,1,0
PORTE DE CHAMPERRET,3585658,2013,4779337.536585365,1,0
ABBESSES,2588279,2013,4779337.536585365,1,0
LA TOUR-MAUBOURG,2152005,2013,4779337.536585365,1,0
JASMIN,2115456,2013,4779337.536585365,1,0
BREGUET-SABIN,2038531,2013,4779337.536585365,1,0
PORTE D'IVRY,1868796,2013,4779337.536585365,1,0
SAINT-SEBASTIEN-FROISSART,1783783,2013,4779337.536585365,1,0
RICHARD LENOIR,1767814,2013,4779337.536585365,1,0
LA DEFENSE-RER,30237090,2013,4779337.536585365,0,1
TORCY,3524984,2013,4779337.536585365,0,1
FONTENAY-SOUS-BOIS,2489026,2013,4779337.536585365,0,1
KLEBER,1260051,2013,4779337.536585365,1,0
SAINT-LAZARE,44939493,2013,4779337.536585365,1,0
REPUBLIQUE,16953175,2013,4779337.536585365,1,0
CHAMPS-ELYSEES-CLEMENCEAU,4617843,2013,4779337.536585365,1,0
RAMBUTEAU,4498414,2013,4779337.536585365,1,0
PORTE DE BAGNOLET,4487998,2013,4779337.536585365,1,0
ROBESPIERRE,4448864,2013,4779337.536585365,1,0
CARDINAL LEMOINE,1715926,2013,4779337.536585365,1,0
MIRABEAU,1420987,2013,4779337.536585365,1,0
DENFERT-ROCHEREAU-RER,4319008,2013,4779337.536585365,0,1
CHAMPIGNY,3386190,2013,4779337.536585365,0,1
BOISSY-SAINT-LEGER,2249848,2013,4779337.536585365,0,1
BONNE NOUVELLE,4953438,2013,4779337.536585365,1,0
MALAKOFF-PLATEAU DE VANVES,3852053,2013,4779337.536585365,1,0
PORTE DE LA VILLETTE,3391140,2013,4779337.536585365,1,0
CHARENTON-ECOLES,3074333,2013,4779337.536585365,1,0
SIMPLON,2994773,2013,4779337.536585365,1,0
ARGENTINE,2932686,2013,4779337.536585365,1,0
COMMERCE,2814912,2013,4779337.536585365,1,0
ETIENNE MARCEL,2803893,2013,4779337.536585365,1,0
LES AGNETTES,2368284,2013,4779337.536585365,1,0
SAINT-MARCEL,1853989,2013,4779337.536585365,1,0
LA MOTTE-PICQUET-GRENELLE,8280583,2013,4779337.536585365,1,0
SAINT-MANDE-TOURELLE,6039765,2013,4779337.536585365,1,0
CROIX DE CHAVAUX,5167717,2013,4779337.536585365,1,0
PORTE DE PANTIN,4675965,2013,4779337.536585365,1,0
BALARD,4189814,2013,4779337.536585365,1,0
ARTS ET METIERS,4036745,2013,4779337.536585365,1,0
BOULOGNE-JEAN JAURES,3847782,2013,4779337.536585365,1,0
BROCHANT,3492868,2013,4779337.536585365,1,0
MAUBERT-MUTUALITE,2631728,2013,4779337.536585365,1,0
SAINT-JACQUES,2070465,2013,4779337.536585365,1,0
AVRON,1907820,2013,4779337.536585365,1,0
PIERRE CURIE,1404039,2013,4779337.536585365,1,0
NANTERRE-VILLE,3424216,2013,4779337.536585365,0,1
CHATOU-CROISSY,1905937,2013,4779337.536585365,0,1
BURES-SUR-YVETTE,649479,2013,4779337.536585365,0,1
ODEON,6156948,2013,4779337.536585365,1,0
DAUMESNIL,5195589,2013,4779337.536585365,1,0
CRETEIL-PREFECTURE,4349228,2013,4779337.536585365,1,0
TERNES,3928660,2013,4779337.536585365,1,0
CORENTIN CELTON,3380242,2013,4779337.536585365,1,0
WAGRAM,2617716,2013,4779337.536585365,1,0
RUEIL-MALMAISON,6518344,2013,4779337.536585365,0,1
VAL D'EUROPE,3392885,2013,4779337.536585365,0,1
LA HACQUINIERE,409864,2013,4779337.536585365,0,1
PORTE D'ORLEANS,6598073,2013,4779337.536585365,1,0
LES SABLONS,5439982,2013,4779337.536585365,1,0
GABRIEL PERI,5285165,2013,4779337.536585365,1,0
BOULOGNE-PONT DE SAINT-CLOUD,3033621,2013,4779337.536585365,1,0
SAINT-PHILIPPE-DU-ROULE,2833206,2013,4779337.536585365,1,0
PORTE DOREE,2702079,2013,4779337.536585365,1,0
LOUVRE,2650897,2013,4779337.536585365,1,0
EGLISE D'AUTEUIL,183783,2013,4779337.536585365,1,0
TROCADERO,8973095,2013,4779337.536585365,1,0
PYRAMIDES,5172054,2013,4779337.536585365,1,0
SAINT-AUGUSTIN,2994175,2013,4779337.536585365,1,0
SAINT-AMBROISE,2780473,2013,4779337.536585365,1,0
RUE DU BAC,2632889,2013,4779337.536585365,1,0
TUILERIES,2616916,2013,4779337.536585365,1,0
CRETEIL-POINTE DU LAC,2384761,2013,4779337.536585365,1,0
NANTERRE-UNIVERSITE,5024403,2013,4779337.536585365,0,1
NOISY-CHAMPS,4168244,2013,4779337.536585365,0,1
LA CROIX DE BERNY,2937840,2013,4779337.536585365,0,1
GARE DE L'EST,19989528,2013,4779337.536585365,1,0
CHARLES DE GAULLE-ETOILE,9067635,2013,4779337.536585365,1,0
CRETEIL-UNIVERSITE,3395813,2013,4779337.536585365,1,0
LOZERE,742156,2013,4779337.536585365,0,1
STRASBOURG-SAINT-DENIS,9967686,2014,9751180.0,1,0
GARE DE L'EST,20284835,2014,19989528.0,1,0
PORTE D'ORLEANS,6848088,2014,6598073.0,1,0
CHATILLON-MONTROUGE,6109396,2014,6246622.0,1,0
PONT DE NEUILLY,6823045,2014,6902931.0,1,0
LES SABLONS,5500065,2014,5439982.0,1,0
MENILMONTANT,4472755,2014,4316980.0,1,0
SEVRES-BABYLONE,5387363,2014,5540265.0,1,0
SAINT-GERMAIN DES PRES,4443897,2014,4498265.0,1,0
RAMBUTEAU,4429945,2014,4498414.0,1,0
MAIRIE D'ISSY,4413172,2014,4322511.0,1,0
BLANCHE,4278243,2014,4251153.0,1,0
BALARD,4287048,2014,4189814.0,1,0
JUSSIEU,4174050,2014,4202204.0,1,0
PORTE DE CLICHY,4094794,2014,4021254.0,1,0
VAUGIRARD,3850737,2014,3910263.0,1,0
GARIBALDI,3197736,2014,3127029.0,1,0
DUPLEIX,3347548,2014,3983127.0,1,0
DUGOMMIER,2640369,2014,2674338.0,1,0
CORENTIN CARIOU,3115884,2014,3178424.0,1,0
LIBERTE,2635279,2014,2557299.0,1,0
BOUCICAUT,3106974,2014,3030137.0,1,0
SAINT-SULPICE,2532665,2014,2551607.0,1,0
COURONNES,3006923,2014,3034396.0,1,0
BRY-SUR-MARNE,2021786,2014,1966285.0,0,1
LA FOURCHE,2816140,2014,2904781.0,1,0
LA VARENNE-CHENNEVIERES,1871804,2014,1863145.0,0,1
PORTE D'ITALIE,2432555,2014,2486263.0,1,0
GARE DU NORD,51316194,2014,49977513.0,1,0
CARDINAL LEMOINE,1713765,2014,1715926.0,1,0
MONTPARNASSE-BIENVENUE,31553833,2014,31919734.0,1,0
