Rang,Réseau,Station,Trafic,Ville,Année
55,RER,SAINT-REMY-LES-CHEVREUSE,884240,St-Rémy-Lès-Chevreuse,2013
152,Métro,PYRENEES,3457271,Paris,2013
163,Métro,CORENTIN CARIOU,3178424,Paris,2013
65,RER,PARC DE SCEAUX,527458,Antony,2013
13,Métro,HOTEL DE VILLE,11953352,Paris,2013
25,Métro,SAINT-MICHEL,8797595,Paris,2013
42,Métro,CRIMEE,6945245,Paris,2013
43,Métro,PONT DE NEUILLY,6902931,Neuilly Sur Seine,2013
67,Métro,SEVRES-BABYLONE,5540265,Paris,2013
88,Métro,REAUMUR-SEBASTOPOL,4925640,Paris,2013
142,Métro,MAIRIE DE SAINT-OUEN,3716189,Saint Ouen,2013
170,Métro,CAMBRONNE,3097164,Paris,2013
183,Métro,SAINT-MAUR,2960155,Paris,2013
187,Métro,PORTE DE LA CHAPELLE,2905144,Paris,2013
200,Métro,BERAULT,2723583,Vincennes,2013
223,Métro,PORTE D'ITALIE,2486263,Paris,2013
224,Métro,LOURMEL,2483440,Paris,2013
230,Métro,CRETEIL-L'ECHAT,2361971,Créteil,2013
248,Métro,EXELMANS,2060188,Paris,2013
256,Métro,PHILIPPE AUGUSTE,1876528,Paris,2013
286,Métro,SAINT-GEORGES,1279016,Paris,2013
295,Métro,SAINT-FARGEAU,884413,Paris,2013
5,RER,CHATELET-LES HALLES-RER,18419580,Paris,2013
16,RER,LUXEMBOURG,5495050,Paris,2013
19,RER,MARNE-LA-VALLEE-CHESSY,4653134,Montévrain,2013
289,Métro,ASSEMBLEE NATIONALE,1138571,Paris,2013
51,RER,LOGNES,1563151,Lognes,2013
35,Métro,GAMBETTA,7445691,Paris,2013
44,Métro,ANVERS,6888848,Paris,2013
193,Métro,CARREFOUR PLEYEL,2829368,Saint Denis,2013
201,Métro,NATIONALE,2710907,Paris,2013
205,Métro,COURCELLES,2650620,Paris,2013
233,Métro,TRINITE-D'ESTIENNE D'ORVES,2296191,Paris,2013
255,Métro,MALAKOFF-RUE ETIENNE DOLET,1881782,Malakoff,2013
1,RER,GARE DU NORD-RER,46757083,Paris,2013
6,RER,VAL DE FONTENAY,11863754,Fontenay-sous-Bois,2013
9,RER,SAINT-MICHEL-NOTRE-DAME,7788001,Paris,2013
53,RER,FONTENAY-AUX-ROSES,1052661,Fontenay aux roses,2013
9,Métro,LA DEFENSE,14275382,Puteaux,2013
53,Métro,VILLIERS,6309746,Paris,2013
55,Métro,CHATILLON-MONTROUGE,6246622,Chatillon,2013
149,Métro,SENTIER,3568784,Paris,2013
179,Métro,NOTRE-DAME-DE-LORETTE,3007196,Paris,2013
261,Métro,RASPAIL,1836323,Paris,2013
40,Métro,AUBERVILLIERS-PANTIN-QUATRE CHEMINS,7051944,Aubervilliers,2013
49,Métro,LA CHAPELLE,6503089,Paris,2013
66,Métro,REUILLY-DIDEROT,5662974,Paris,2013
77,Métro,ALESIA,5237657,Paris,2013
81,Métro,CHATEAU DE VINCENNES,5122469,Vincennes,2013
148,Métro,TOLBIAC,3582639,Paris,2013
151,Métro,JOURDAIN,3462099,Paris,2013
194,Métro,ROME,2818857,Paris,2013
216,Métro,LIBERTE,2557299,Charenton,2013
33,RER,LAPLACE,3013290,Arcueil,2013
72,Métro,RICHELIEU-DROUOT,5362641,Paris,2013
113,Métro,BLANCHE,4251153,Paris,2013
139,Métro,MARX DORMOY,3753736,Paris,2013
161,Métro,BOURSE,3288142,Paris,2013
164,Métro,ECOLE VETERINAIRE DE MAISONS-ALFORT,3175166,Maisons -Alfort,2013
273,Métro,PONT MARIE,1624879,Paris,2013
275,Métro,PONT NEUF,1614109,Paris,2013
23,RER,BOURG-LA-REINE,4164559,Bourg la Reine,2013
27,RER,JOINVILLE-LE-PONT,3496468,Joinville-le-Pont,2013
57,RER,LE GUICHET,837809,Orsay,2013
63,RER,MASSY-VERRIERES,554518,Massy,2013
31,Métro,HAVRE-CAUMARTIN,7899688,Paris,2013
32,Métro,CHAUSSEE D'ANTIN-LA FAYETTE,7600254,Paris,2013
33,Métro,STALINGRAD,7588899,Paris,2013
94,Métro,PERE LACHAISE,4682893,Paris,2013
238,Métro,MICHEL-ANGE-AUTEUIL,2222709,Paris,2013
302,Métro,PRE-SAINT-GERVAIS,365930,Paris,2013
30,Métro,BIR-HAKEIM,8157090,Paris,2013
168,Métro,RUE DE LA POMPE,3138962,Paris,2013
199,Métro,JACQUES BONSERGENT,2727155,Paris,2013
203,Métro,DUGOMMIER,2674338,Paris,2013
219,Métro,VOLONTAIRES,2511126,Paris,2013
232,Métro,CITE,2317889,Paris,2013
251,Métro,MABILLON,1980247,Paris,2013
272,Métro,PORTE DE CHARENTON,1642061,Paris,2013
274,Métro,EUROPE,1619580,Paris,2013
296,Métro,PORTE D'AUTEUIL,687237,Paris,2013
299,Métro,DANUBE,600883,Paris,2013
8,RER,MASSY-PALAISEAU,8633119,Massy,2013
21,RER,SAINT-GERMAIN-EN-LAYE,4313384,Saint-Germain-en-Laye,2013
18,Métro,STRASBOURG-SAINT-DENIS,9751180,Paris,2013
17,Métro,ESPLANADE DE LA DEFENSE,9843051,Puteaux,2013
36,Métro,INVALIDES,7283347,Paris,2013
137,Métro,CENSIER-DAUBENTON,3777857,Paris,2013
56,Métro,PORTE DE VERSAILLES,6238822,Paris,2013
123,Métro,DUPLEIX,3983127,Paris,2013
147,Métro,PORTE DE CHAMPERRET,3585658,Paris,2013
213,Métro,ABBESSES,2588279,Paris,2013
240,Métro,LA TOUR-MAUBOURG,2152005,Paris,2013
243,Métro,JASMIN,2115456,Paris,2013
249,Métro,BREGUET-SABIN,2038531,Paris,2013
257,Métro,PORTE D'IVRY,1868796,Paris,2013
263,Métro,SAINT-SEBASTIEN-FROISSART,1783783,Paris,2013
264,Métro,RICHARD LENOIR,1767814,Paris,2013
3,RER,LA DEFENSE-RER,30237090,Puteaux,2013
26,RER,TORCY,3524984,Torcy,2013
38,RER,FONTENAY-SOUS-BOIS,2489026,Fontenay-sous-Bois,2013
287,Métro,KLEBER,1260051,Paris,2013
2,Métro,SAINT-LAZARE,44939493,Paris,2013
6,Métro,REPUBLIQUE,16953175,Paris,2013
98,Métro,CHAMPS-ELYSEES-CLEMENCEAU,4617843,Paris,2013
